1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
12860.81851,5203.290137,6481.676908,1436.809161,5838.169766,14050.41006,19526.92204,16063.59525,32958.43765,29755.39554,30436.73809,27646.45055,28139.5927,20476.13848,10291.21736,14022.78209,19907.58109,13552.5676,22131.48937,16176.90513,32259.96809,34716.37784,10028.67084,14393.61639,20547.96591,27294.43812,12580.35687,3248.66702,11118.66113,10349.96074,3142.762183,2925.552971,9073.095648,12822.26649,21694.88931,14534.66589
11435.7531,4017.24442,5212.937033,0,7176.432975,15446.0405,20658.38244,17375.78765,33598.99305,30593.80048,31438.36512,28138.84906,28705.53926,20267.97075,10041.11567,13941.48563,19368.26708,12943.81144,21302.77452,15273.01179,30940.64385,33326.66204,11238.70065,13239.98249,19272.155,26096.76271,11789.67946,1820.326167,12510.39148,11778.09849,2453.361918,2435.928516,7646.216148,11456.9671,20258.89831,13211.39799
12090.60454,3937.40784,5137.875399,4350.702213,6643.969376,14631.63995,18003.77759,15748.07707,29604.50696,26960.07009,28211.63534,23978.76145,24626.14572,16039.34278,5849.258621,9625.904904,15568.38324,9327.079428,18152.59334,12428.69714,29876.22513,32906.96734,9342.277991,11491.65323,18052.52413,24312.66314,8672.486259,5108.138077,11809.58316,12566.95801,6784.763842,2002.678295,9615.847045,11266.34437,21286.60508,12539.7134
21959.45385,14348.50503,15666.03287,10580.41416,6268.1991,8060.006294,16567.8736,11330.38796,33140.00657,28603.24613,27864.63271,29113.10063,29086.7871,26186.3076,17100.55637,19726.92067,26991.6726,21189.0806,30156.23729,24557.58822,41447.24029,43905.87971,8653.073192,23372.60475,29694.3217,36290.87622,20784.41031,12262.00149,6178.762766,2302.665065,10807.97977,11662.68194,17859.2862,22028.63552,30496.83877,23733.03527
25954.27918,18139.82813,19485.34346,14526.3092,9027.805266,6221.42598,15217.8405,9630.320842,32479.42611,27470.37771,26105.90839,29143.55517,28886.11208,28164.81905,19880.53622,21953.99788,29552.62701,24132.63582,33117.7369,27776.47188,45203.03411,47822.9018,9573.59485,26954.78757,33401.92842,39822.09226,23984.78568,16258.95425,5989.728221,2950.152027,14905.47332,15345.96535,21927.41774,25910.51986,34580.74739,27545.49835
28576.49159,20751.32801,22099.50305,17149.45513,11490.72953,6915.92763,15552.75012,10015.72611,32980.83779,27710.63845,25924.06333,30095.74279,29703.67008,30133.52795,22220.34913,24070.9351,31763.69793,26508.22706,35474.57628,30234.10995,47798.22483,50443.40264,11430.53276,29518.16944,35990.17485,42362.20282,26445.56128,18880.0275,7698.658486,5499.65189,17495.7267,17945.09031,24535.20538,28529.52537,37181.66607,30155.45266
27968.83323,20446.04663,21761.80123,16651.18672,11809.81582,8810.012529,17668.50284,12082.89979,35059.12186,29882.06837,28208.89042,31951.26423,31631.91266,31163.79957,22730.48364,24920.92237,32472.93743,26941.88948,35932.50111,30482.20805,47544.17153,49957.66284,12585.33819,29446.13202,35790.75241,42356.3062,26693.61549,18294.42473,8974.675647,5757.894676,16672.00054,17747.77594,23768.51359,28107.54878,36328.03335,29826.89815
25623.76518,17393.69699,18756.81115,14410.33076,7529.087221,1817.134778,10766.18568,5239.480295,27962.74166,23006.90694,21842.87423,24676.14162,24385.21673,24654.54508,17367.53796,18777.39143,26565.66479,21698.60459,30552.3085,25652.0725,43904.31933,46972.7207,6027.13218,25477.83759,32094.30611,38075.40954,21914.70125,16230.43131,2388.928441,3998.667594,15501.06025,14498.17162,22056.54658,25182.36287,34632.32659,26587.88769
23135.90559,14829.52646,16163.74538,12401.55889,5227.54739,3483.45981,9474.155694,5030.952918,25814.5472,21307.42115,20832.36611,21972.67642,21853.27853,21089.65591,13925.83211,15196.81027,22993.93883,18251.88823,27043.79666,22284.06286,40785.66444,44050.69571,2450.817813,22373.72685,29020.24905,34794.16916,18590.44374,14188.35032,1430.764826,5476.423967,13949.62073,11981.89992,19930.44562,22467.52432,32276.9929,23730.57183
21418.22906,13113.17441,14451.94844,10685.36336,3522.984365,5095.055564,10757.40325,6704.873324,26513.24162,22263.67449,22070.91867,22332.14292,22336.93351,20340.69279,12599.76474,14220.60396,21937.38957,16929.68247,25810.35169,20876.71827,39224.82838,42419.16735,1878.076098,20799.28705,27436.69666,33321.24548,17144.95025,12466.48142,2390.481418,5370.540406,12287.04994,10258.12612,18201.34313,20779.09674,30552.50015,22073.50879
